y, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
10.061939, 2.127914, 2.117372, 31.614111, 2.908522, 2.884807, 2.740724, 0.373029, 3.819536, 1.659565, 2.401432, -1.004406, 1.542965, 1.141359, 1.419296, 3.423396, 2.315813, -31.471493, 1.766384, 3.226406, 1.894878, 1.149904, 1.932406, 3.393069, 1.219541, 2.097415, 1.288073, 2.280192, 0.180272, 2.117666, 1.748625, 2.528027, 2.090559, 1.100408, 4.748066, 0.559453, 1.444514, 1.510708, 2.010880, 3.108654, 1.901606, 4.657909, 1.621222, 3.202210, 1.075025, 2.387164, 2.394288, 1.710873, 2.359508, 1.246951, 0.599730, 1.318436, 3.880334, 1.048548, 1.154263, 3.500850, 1.546402, 0.844751, 2.205443, 3.241631, 1.513681, 0.604456, 4.399414, 0.955416, 0.918038, 2.503356, 2.907998, 0.741126, 3.085838, 0.309898, 0.796505, 1.018315, 2.231414, 1.633495, 0.772361, 3.443698, 2.489237, 0.616616, 1.424697, 3.225971, -0.098995, 2.533818, 2.563520, 0.974055, 3.900975, 2.340116, 1.537588, 1.875652, 3.175064, 0.937433, -0.556872, 2.732154, 3.022707, 8.063549, 2.316911, 2.335174, NaN, G, NaN, H, K
3.392500, 0.441223, -1.027880, 29.523081, 0.219021, 1.011053, 2.215191, -1.091678, 0.304729, -2.077873, -1.929090, -2.264829, 0.573982, -0.118777, -0.378529, 0.687605, -0.810323, -35.192067, 0.324024, -0.139327, -0.176672, -1.615133, -0.096783, -2.079161, 0.732794, -0.203153, -2.904538, 0.959884, -0.038866, -0.577384, -1.522954, 0.282208, 2.497340, -0.033775, 0.660211, -2.247050, -1.572253, 0.436674, -0.205413, -0.199560, -0.615330, 2.336296, 0.556856, -0.560978, -1.604371, 2.062110, 0.018470, 0.208026, 0.808233, -0.576170, -0.873548, -1.017253, 0.055877, -0.640945, 0.133675, 1.381841, -0.752557, -2.081326, -0.085852, -0.232340, -1.233197, -4.122297, 2.156411, -0.719009, 0.109851, 0.563661, -0.479722, -2.572407, -1.927413, -0.456647, -1.675108, 0.416184, 0.171915, -0.439869, -1.663020, 1.975259, -0.307375, -0.303117, -1.118980, 0.045869, -1.847812, -1.831551, -0.530455, -0.497177, 1.047031, 0.646549, -0.918335, 1.296694, 0.331511, -1.923171, -3.988432, -1.596073, 1.583809, 7.590648, -0.116207, -0.905111, K, I, I, I, K
-1.068676, -1.187003, -1.060227, 29.121350, -1.520599, 0.446949, -0.449360, -1.571078, 0.739814, -0.161406, -1.035594, -1.937187, -0.709253, -0.820812, 0.337286, 0.388880, -0.426237, -32.339409, 0.534177, 1.191630, -1.528902, -0.919558, -0.842755, -0.344112, -2.345974, -0.723794, -1.075983, 1.407362, -1.646132, -1.130045, -2.423408, -0.543243, 0.003625, -0.506560, -0.160906, -2.235323, 0.789298, -0.808187, -1.553428, -0.143650, -0.582912, 0.936785, -0.265972, 1.421548, -0.843464, 0.164143, -0.474992, -0.045071, -0.298175, -1.209127, -2.075533, -2.197847, 0.549537, -0.601492, 0.487532, 0.143433, -0.550837, -0.144436, 1.165671, 0.512841, -0.891011, -3.188288, 1.871449, -0.848766, 0.097525, -0.050918, 0.518178, -1.366545, -0.935754, -0.864336, -3.153072, -0.669362, -1.176329, 0.759946, -1.596637, -0.078275, 0.787800, -2.695077, -0.980963, 0.780359, -2.663928, -1.171428, -0.639882, -1.406966, 1.653076, 1.408970, -0.237511, -0.307792, -0.252232, -1.514739, -1.782704, 0.552563, 1.744798, 6.820794, 1.458499, 0.395291, G, J, I, J, K
5.540282, 1.229770, -0.755396, 30.470347, -0.202783, 0.909285, 2.308521, -0.119081, 0.263520, -0.137747, -2.332513, -1.269196, -0.993577, -0.296664, 0.798521, 2.072892, -1.603181, -32.695229, 1.842378, 0.707217, -0.193493, -1.382631, -0.329368, -0.671173, 0.172573, -0.490480, -0.270433, 0.054467, -1.143959, -1.014192, -0.469464, 0.993560, -1.310363, 1.301903, 2.696252, -2.878589, 0.009167, 1.260307, -1.228215, -1.431958, -0.140529, 2.789300, 0.417569, 2.680012, 0.660183, 1.314226, 0.122613, -0.539854, 1.462280, -2.291901, -0.967637, -1.665640, 1.833309, -1.250478, -0.487934, 0.631037, -0.294057, -0.515462, 0.979697, 0.695634, -0.882840, -1.974727, 1.522637, -1.250044, 0.498643, -0.302333, -0.844312, -0.328596, 1.126027, -0.573632, -2.675385, -0.065935, -0.969568, 0.476884, -1.226362, -0.125970, 3.574766, -1.799393, -1.119278, -0.680642, -0.928729, -2.357047, 1.061207, 0.706937, 1.133572, 3.180347, -1.269723, -1.336672, -0.958746, -0.018114, -2.806617, 0.276529, 1.962782, 6.624573, 0.404461, 0.149897, I, J, J, G, J
11.448401, 0.262062, -1.084621, 29.249018, -0.079183, -0.327471, 0.686434, -3.633497, 0.044237, -2.047837, -1.740529, -2.208370, -2.012221, -0.328858, -2.032557, -1.116415, -1.729884, -34.845294, -1.142504, 0.605887, 0.495392, -1.676515, -0.370071, -0.755411, 0.883096, 0.484804, -1.142625, -0.666245, -1.688602, -2.339857, 0.872694, 0.757775, -0.539155, -0.162909, 2.583930, -2.056849, -1.664585, 0.020931, 0.600760, -1.122421, -2.082885, 3.833650, -2.098937, 0.251595, -1.499010, 1.002519, -1.422075, -1.024100, 1.951219, -1.996681, -1.904655, -0.045194, 1.179635, -2.278779, -1.695464, 1.545825, 0.810930, -0.173797, -1.528943, -0.164855, -1.284292, -3.308266, 0.873038, -0.508975, -1.293795, -0.866589, -1.855216, -1.796480, -0.868116, -2.954382, -1.984262, -1.888546, -0.767010, -0.033025, 0.752255, 0.940618, 0.834414, -1.267224, -0.574986, 0.064417, -2.282042, -1.027258, -0.880223, -0.521391, 0.129324, -0.738464, -0.109801, -2.162037, 0.195687, -0.422340, -2.155470, -1.132497, 0.221854, 6.837671, 0.208109, -0.385559, I, G, K, J, K
-1.090207, -0.139027, 0.457399, 30.177288, 0.658785, 0.739673, 1.207517, -1.276473, 0.109932, -0.941164, -1.293911, 0.389228, 0.789831, 0.029005, 1.511022, -0.364574, 0.040866, -32.839172, -0.230270, 1.179826, 0.207199, -1.345701, 0.478937, -0.013859, 0.006030, -0.521929, -0.313867, 1.625555, -0.434757, 0.862843, -0.773799, -0.225389, 2.763568, 1.240447, 1.238339, 0.816404, -0.452621, -0.139421, 0.604006, 1.949693, -0.322696, 3.143817, 1.102975, 1.694473, -0.644747, 1.381298, -0.904036, -1.181099, 0.291518, 0.671717, -1.335559, -1.631420, 1.347390, -1.481315, 0.584721, 2.480536, -0.687539, -0.624449, 0.156773, 0.628754, -0.576928, -1.256595, 2.520264, -0.209732, -0.664467, 0.884043, -0.153739, -2.387279, -0.757316, -1.308670, -1.168859, -0.784454, 0.294256, 0.381926, -0.736429, 1.840575, 0.648536, -1.158890, 0.177320, 1.098374, -1.392053, 0.526478, 0.442119, -0.089875, 1.383889, 1.384891, -1.469784, -0.376290, 1.137514, -0.595470, 0.158004, 0.543761, 2.818727, 7.050839, 2.540870, -0.107321, G, H, J, I, H
15.913166, -0.996652, -0.757899, 29.065732, 0.819399, 0.230577, 1.815929, -1.333074, 0.260195, -0.998543, -2.951969, -2.663712, -0.255646, -1.054273, -1.866703, 0.707892, -1.172832, -36.311682, 0.306029, -0.337598, -1.137545, -2.326129, 0.655017, 0.403552, -0.779417, -2.054137, -0.923788, -0.376618, -0.966017, -0.671951, -1.422851, -0.210332, 1.052366, 0.275423, 1.928635, -2.577307, -2.692394, 1.536423, 0.524215, -0.363168, -0.993110, 2.166030, 0.516848, -0.840894, 1.294015, 0.902814, -1.793025, -1.586045, -0.153816, -1.266024, -0.666297, -2.131404, 1.048323, -2.003392, -1.822791, 0.292896, -1.377518, -1.458092, -0.161500, 0.552015, -1.228753, -2.622231, 0.995471, -0.486579, -1.434555, -1.624477, -2.034248, -1.928164, -0.767116, -2.506221, -2.093757, -1.597660, -0.415664, 0.530976, -1.359315, 1.687756, 0.233923, -0.586413, -1.080245, 0.395169, -2.436594, -2.303288, -0.534407, -0.556648, 0.833541, 0.919424, -1.435552, -0.730448, -0.913110, -1.198724, -3.160704, -0.422832, 1.487266, 6.581051, -1.419204, -0.471252, H, G, H, K, K
8.438784, 0.277324, -1.654911, 28.593901, 0.678967, -0.167554, 2.082889, -1.329994, -0.782020, -0.994589, -3.097632, -0.486369, 0.634986, -0.399587, 0.248888, 1.061115, -0.863380, -33.772892, -0.615841, 0.541065, -1.933458, 0.079765, 2.031798, -1.180980, -0.209166, 0.796301, 1.162223, 0.490378, -0.277511, -0.657018, -2.089952, -0.041426, 0.566962, -0.680426, 2.628290, -0.616175, -0.635874, -0.842255, -0.496112, -1.159523, -0.391194, 1.228337, 0.655259, 1.740347, 0.712663, -0.692362, -0.868965, -1.588856, -0.105680, -1.126481, -1.141507, -1.003562, 0.728723, -1.792232, -2.794760, 1.484555, -1.186805, -1.373212, -0.563504, 1.919526, -1.396138, -0.975450, -0.524750, -1.072559, -1.231253, -0.436756, -0.321813, -1.936829, 0.377332, -1.449328, -2.551241, 0.496443, -1.895109, -0.142874, -0.318318, 1.590551, 0.916124, -1.393483, -0.933846, -0.246096, -2.340895, -0.338668, -0.603940, -1.019810, 0.071312, -0.118976, -0.654829, -0.860101, 0.744329, -0.960420, -0.980950, 0.710254, 1.488472, 6.909330, -0.802407, 0.053256, K, J, G, G, G
6.724647, 0.009639, -1.830643, 27.481016, -0.264052, -1.030870, 1.547906, -1.423282, -1.722078, -1.423944, -1.552939, -2.213042, -0.117811, -0.455934, -1.589065, -0.305863, -2.688587, -35.045015, 0.701948, -2.106641, -2.946814, -2.892343, -0.469037, -1.226122, -0.859500, -2.419556, -0.571168, -1.202172, 0.187108, -2.351308, -2.054706, -2.052292, 1.651881, 1.801285, 0.914214, -2.567542, -2.060204, 0.862314, -0.895754, -1.827576, -0.861232, 1.367585, -0.917631, -0.139555, -2.572296, 2.197806, -1.188526, 0.626695, 0.653910, -1.929753, -1.692559, -0.811090, -1.454269, -2.149214, -2.175633, 0.159706, -2.424386, -0.986257, -0.953718, -0.925458, -2.459029, -2.622293, -0.012937, -0.757864, -0.618592, -0.998985, -1.845950, -1.661837, -1.716613, -1.072094, -2.121871, -1.850303, -3.027570, -0.614927, -1.880254, 0.545166, 1.195931, -2.690972, -0.373739, -0.667672, -0.990680, -1.401912, -1.787821, 0.188898, 1.653341, -0.088121, -1.569950, -0.880915, -1.375457, -1.203026, -3.013634, -0.252116, 0.265066, 5.697812, -1.275385, -0.221478, K, J, I, G, J
-3.921607, -0.563919, -3.125196, 29.484931, -0.256781, -0.993971, 0.784016, -2.998906, -0.669850, -2.353878, -2.312160, -2.482316, -1.248228, -0.423977, 0.899149, -1.526479, -0.178719, -33.789803, -2.039230, -0.539899, -0.615591, -2.861779, 0.773135, -0.755091, -2.111637, 0.266754, -2.007187, -1.092568, -1.388750, -1.459472, -2.022367, -0.970807, 0.912400, 0.338730, 0.281014, -4.220657, -1.525331, -0.218736, 0.357523, -0.483429, -1.882554, 1.966219, -0.632344, 0.934427, -0.001161, 1.244833, -2.173394, -1.443160, 0.254787, -2.469965, -1.006930, -1.613504, 0.729411, -1.060859, -0.647102, 1.189442, -0.532206, 1.314924, -0.276978, -0.909458, -3.282156, -2.262339, -0.139655, -1.107218, 0.504952, -1.237344, -1.144753, -2.688128, -0.223001, -2.170702, -1.761150, -1.469020, -1.051016, -1.719460, -1.640670, 1.142621, -0.293426, -0.762594, -1.453403, 0.757364, -2.416359, -0.886604, -1.624931, -1.988306, 0.945958, -1.187739, -0.179975, -1.852761, -1.234153, -0.052148, -1.290244, -0.693568, 1.259630, 6.473765, 0.341335, -0.792258, K, K, I, K, J
