x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
1.181615, -0.906140, 29.576866, 0.501091, 1.766301, 0.696960, -0.647895, 0.727706, -0.935796, -0.775140, 0.294658, -0.266727, -0.059288, 0.257104, 0.114729, -0.706613, -33.238769, 0.895486, 1.318150, 0.126421, -0.087031, 0.104509, -0.295716, 0.130093, 1.529513, 0.660622, 0.245737, -1.925498, 0.259328, -1.069992, 0.972642, -0.589372, 0.212258, 2.403616, -1.796538, 0.657131, -0.296529, 1.290132, -1.322457, -0.449840, 2.772368, 1.294975, 0.742676, 0.528016, 0.945235, 0.703581, -0.927430, 0.382148, -0.777624, -1.879439, -1.616694, 1.742602, -1.203177, -0.138973, 3.032384, -0.586783, -2.548582, 0.787391, 1.695526, 1.024871, -0.206405, 2.183298, -0.496932, 0.214035, -1.595211, -0.596870, -1.647264, 0.900655, -1.118641, -1.467878, -0.497385, -0.788345, -0.682371, -0.831384, 1.176261, 1.277550, -0.222962, -0.907500, 0.161739, -0.478034, -1.366050, 1.375420, -1.525746, -0.120415, 0.734815, -0.883188, -1.103238, 1.821970, 0.453482, -1.356481, 0.028963, 1.975873, 6.676747, 1.227226, -0.656450, G, K, G, J, NaN
1.100860, -0.327850, 29.943593, 1.243007, 0.087349, 1.248836, -3.545994, -0.333377, -0.576729, -0.620291, -0.700390, -0.675943, -0.662247, -0.223211, 0.658104, -0.535132, -32.308248, 0.107061, 1.369310, 0.276841, -0.680452, -0.666999, 0.327960, -1.757843, 0.119979, 0.789048, 1.219344, -1.619039, 0.431965, -0.476961, 2.372059, 0.403567, 0.470153, 0.897781, -0.607314, -1.624213, 0.133158, -0.448836, -0.166328, -1.342996, 3.807080, -0.007467, 2.011350, -0.409340, 0.034736, -0.511629, -0.801038, 1.886692, -0.927951, -1.918578, -2.447395, 2.659657, -3.550480, 0.701884, 1.452878, 0.787319, -0.567651, -0.825683, 1.681184, 0.312756, -2.420158, 0.783220, -1.387250, 0.991472, -0.111201, 0.237224, -1.487412, 0.429303, -1.883175, -0.583026, -0.322854, 1.550620, 0.304105, 0.252435, 1.175724, 1.994432, -0.671548, -1.434601, 1.414866, -1.730727, 0.243488, 0.782604, -0.087589, 2.203280, 1.214916, -0.658381, -0.928427, 0.336152, -0.552796, -1.840794, -1.183224, -0.313428, 8.141016, 1.159166, -0.973377, I, G, K, J, H
0.349475, -2.279686, 29.045076, -0.468504, -0.314656, 0.063125, -1.770982, -0.244121, -0.164288, -2.976388, -1.350860, -1.527483, 0.081726, 0.714129, 1.781108, -0.947899, -34.300327, 1.158335, -0.379194, -0.303549, 0.458075, -0.428167, 1.256664, -1.156354, -1.021701, -0.367150, -0.073998, -0.386427, 0.620717, -0.812311, 0.386358, 1.180161, 1.523645, 2.130392, -2.246000, -0.978853, 1.233597, -0.807906, -1.285582, -0.752217, 2.439562, 2.187586, 1.938051, -0.382951, 1.154703, 0.615316, -0.848510, 0.600507, -2.302232, -1.087984, -1.603867, 2.546377, -2.664999, -0.495747, 1.213962, 1.903341, -1.085090, 0.840229, 1.312497, 0.691398, -2.234872, 2.080576, -0.208723, -0.024940, -0.389149, -0.317959, -1.192868, 0.856219, -2.723430, -0.904701, -1.619471, -0.111626, 0.304547, -0.774019, 0.599014, 1.157095, -0.448496, -0.124024, 0.959567, -1.469598, -0.026603, 0.591468, 0.042217, 2.218381, 0.111881, -0.242201, 0.293194, -0.843992, -1.876770, -1.910878, -0.813184, 0.949881, 6.420012, 0.711859, 0.274054, H, K, NaN, H, K
-1.440674, -2.169625, 28.935599, -2.445998, -0.988901, -0.333895, -3.548411, -1.179340, -1.961466, -2.451036, -1.729271, -2.266124, -0.987446, -1.019909, -0.014226, -1.642411, -33.328341, -0.784174, 0.461506, -0.535728, -2.491737, -1.177285, -1.051381, -3.057611, -0.099790, -2.143319, -0.355973, -2.800031, -2.221397, -1.995716, -0.463019, -0.927151, -0.044160, 0.946009, -1.888917, -1.383182, -0.049046, -0.120348, -2.722497, -2.399701, 1.590394, 0.432065, 0.481475, -0.941365, -1.305473, -1.311563, -1.859928, -0.107780, -3.548212, -2.502824, -2.091247, 1.254721, -2.636530, 0.389177, 0.941763, 0.866562, -2.801415, -0.175188, -0.258169, -0.504217, -2.531181, 0.574743, -2.031905, -1.253665, -2.487255, -1.015392, -1.678907, -0.462753, -1.297168, -2.069089, -1.621867, -0.831223, 0.513231, -1.727338, -0.317243, 1.700207, -2.331281, -1.815859, -0.380207, -3.121042, -2.137632, -0.852989, -1.749658, 0.537015, 0.487841, -0.534217, -1.771041, -0.696525, -2.054862, -1.753843, -2.589275, 0.004927, 6.495148, -1.145922, -0.662171, G, NaN, K, K, J
0.329881, 1.502640, 29.615468, 1.516011, 0.507904, 1.314184, -0.418090, -1.983796, 1.452232, -1.622073, 0.130278, -1.667439, 1.445505, 0.372956, 0.310996, -2.269774, -34.443361, -0.042774, -0.000932, 1.742203, 0.518229, 0.270102, -0.329967, 0.904927, 0.919335, 0.773359, 0.031915, -0.784957, 0.004879, 1.066784, 2.621275, 0.226616, 0.984750, -0.187412, 0.079143, 0.657939, 0.567826, -1.720398, -0.131509, 0.955449, 2.643109, -0.515020, 2.196581, -1.373527, 1.732307, 0.795243, 0.802118, 1.791931, -1.147695, 0.644588, -1.256891, 1.675405, -1.027083, -0.746866, 1.927383, 1.203365, 0.929445, -0.578385, -0.409714, -0.617694, -1.132193, 1.883269, -0.641598, 0.495446, 1.547918, 0.128618, -1.242971, 2.073283, -0.317999, -0.456970, 0.076855, 0.585125, 0.391534, -0.639340, 0.034695, 2.360114, -2.597498, -0.502294, -0.991743, 0.689097, 0.123165, 0.891635, 1.331630, 1.861118, 1.815502, -1.726908, 1.184271, 0.497623, -0.403572, -1.186771, 1.181515, 1.132994, 7.867994, 2.263962, 0.702686, H, NaN, J, H, G
-0.920173, -2.342154, 27.862950, 1.655348, -2.114698, 0.696350, -3.046117, -2.289918, -1.601748, -2.504097, -1.808357, -1.434343, -1.125644, -1.778162, -1.280342, -3.598586, -34.984422, -0.289625, -2.060726, -3.068178, -2.691221, -0.059710, -0.982895, -1.987342, -2.704734, -1.579349, -0.988870, 0.353922, -2.708250, -0.210550, -0.858452, 0.371708, 0.666114, 1.607540, -4.020663, -2.048197, -0.362468, -1.366686, -2.579377, -3.326515, 1.762611, -1.057361, 1.586647, -1.589575, 0.291055, -0.971442, -1.455227, -0.617049, -2.982921, -2.306492, -2.610041, 0.216516, -2.681470, -3.230417, -0.505739, -1.465321, -0.750323, -0.972866, -0.643103, -3.049800, -2.005681, -0.736973, -1.069782, -1.890245, -1.321090, -2.389213, -1.890828, -0.345513, -3.795734, -2.002849, -2.587064, -0.728739, -1.558320, -2.738562, 0.465664, -0.749235, -1.366968, -2.108453, -0.546254, -3.065320, -1.804810, -2.455589, -1.643215, 0.318343, -1.286001, -3.040258, -1.863281, -1.945108, -1.169527, -1.970189, -1.452624, -0.179522, 6.521799, -0.231238, -1.124912, I, J, I, G, K
1.805945, 0.602192, 30.860493, 0.576378, -0.123950, 0.969789, -2.605712, -1.292624, 0.612200, -1.229599, -0.505938, 0.445336, -0.114350, 0.894095, 1.226612, -0.339585, -31.451681, 1.008700, 0.726268, -0.021435, 0.587229, 1.387422, 1.230010, -0.823268, -0.420311, 1.033212, 1.405639, 0.461098, 0.924927, 0.649006, 0.279290, 1.539916, 2.512221, 3.272755, -0.281180, -1.257273, 1.082137, -0.825878, -0.706212, 0.471003, 4.024646, 2.415371, 1.915873, 0.041971, 2.312725, 0.684357, -0.085036, 0.854437, 0.768119, 0.796929, -0.448546, 3.053522, -0.956569, 0.143522, 1.488313, 1.173317, 1.765445, 0.397706, 2.921543, 0.967703, -1.247242, 1.343619, -0.966181, 0.631914, 1.025469, 2.735063, -0.113837, 0.879970, -0.759090, 0.824196, -0.013861, 0.587814, 1.909109, 0.393760, 1.820037, 2.308302, 1.024611, -0.116588, 3.291040, -0.517899, 0.453283, -0.271827, 0.935049, 2.514083, 0.761525, 1.762433, 1.099253, -0.019282, -0.256095, 0.900840, 1.728012, 0.937020, 7.952933, 0.711353, 0.687049, H, I, G, J, NaN
-0.273647, -2.015922, 29.537070, -0.650103, 0.448402, 0.783014, -1.248929, -0.680202, -2.054003, -3.254518, -3.490841, -2.098310, -2.302512, -0.934464, 0.670684, -2.706952, -34.275512, -0.432037, -0.262570, -0.656295, -2.050459, 0.366783, -0.518748, -1.821099, -3.404653, -2.407492, -0.505153, -2.508940, -2.260344, -1.564363, 0.169586, -0.664967, -0.273238, 2.092418, -3.529664, -0.968340, 0.328531, -1.033820, -1.249583, -2.217500, 1.076504, -0.955166, 1.069206, -1.149757, 0.666871, -0.711930, -2.089351, -0.196726, -4.023591, -2.363494, -2.919572, 1.271548, -2.410999, -2.223548, 0.554914, -1.651881, -1.700200, 0.247307, -1.254000, -1.954228, -2.428770, 1.897768, -1.233341, -1.597147, -2.608253, -0.177621, -2.335958, -0.316467, -1.669681, -2.962091, -2.150664, -2.290445, -1.071214, -2.340344, 1.010751, -0.117682, -2.626916, -2.058011, -0.579875, -2.613154, -2.263436, -0.398741, 0.207984, -0.056084, 0.671664, -2.073753, -1.743383, -1.132324, -1.838249, -2.946404, -0.769687, -0.058395, 5.327654, -2.512571, -1.134180, K, K, NaN, NaN, G
1.333332, 0.344967, 30.833678, 0.894580, 2.032395, 3.368664, 1.250538, 2.567641, 1.090851, -0.859486, -1.946516, -1.288564, 1.547472, -0.183656, 1.686936, -0.396449, -32.917186, -0.235046, 1.263224, 0.573753, -0.604835, 0.639902, 0.233682, -0.244491, 1.371410, 0.063931, 1.526500, -0.187000, 1.187077, 0.969590, 1.238407, 2.023649, 1.819483, 2.811338, -0.306332, 1.514639, 1.192349, 0.811942, 0.677687, 1.273198, 2.819047, 2.538902, 2.431393, 2.509791, 2.974508, 0.703534, 1.925832, 2.916749, 0.553539, 0.787133, 1.113649, 1.965896, -0.129431, 1.131077, 2.134498, 1.500620, 0.320231, 1.640207, 3.315615, -0.142644, -0.575312, 2.545454, 0.363231, 0.874034, 1.411722, 1.435590, 1.240599, 2.016638, 0.654018, -1.259243, 1.347552, 0.013539, 1.425941, -0.019934, 2.783194, 1.502435, -1.011122, 2.124790, 2.043016, 0.674747, 0.470194, 0.732358, 2.909662, 3.171325, 2.120622, 0.990609, 1.257069, 0.789778, -0.201151, -0.369582, 0.974310, 0.985283, 8.567843, 0.221206, 1.295604, I, J, J, G, J
1.966423, -0.493683, 28.793750, 1.444011, 1.312439, 1.911131, 0.730609, 2.104563, 0.673692, -0.587341, -1.632367, 2.479675, 0.492639, 1.218561, 3.854322, 0.257591, -32.000196, 3.238160, 1.295721, -0.670685, 0.598368, 0.826030, 0.858217, -1.263198, -1.251559, 1.856373, 1.879853, 0.323668, 2.844736, -1.397285, 2.278685, 2.881367, 2.770119, 2.062241, -0.853178, 0.770276, 1.184712, -0.609953, 1.475275, 0.308472, 2.541841, 2.532645, 2.355931, -0.388687, 1.497208, 1.135687, 2.001365, 3.053831, 0.475412, -0.205148, -0.547267, 3.266081, -1.864852, 0.682215, 0.902221, 1.185337, -0.891988, 2.883189, 2.317370, 0.066675, -0.574986, 3.981633, 0.292023, 1.094718, 0.913715, 0.461262, -0.373586, 1.084146, 0.665911, -0.386056, 0.544959, 0.226645, 1.181857, -2.077957, 1.462031, 1.792875, -0.056578, 0.556394, 2.082612, -0.885568, 1.222680, 2.194191, 2.035653, 4.669578, 1.487636, -1.079101, 1.466825, -0.191778, -0.538016, -1.397283, 0.858022, 1.211190, 6.116595, 0.376089, 1.365187, I, K, NaN, G, J
